institute_id,institute_name,programme_offered,broad_field,degree_type,total_seats,eligibility,city,state,admissions_url,source_page,remarks
KASH001,University of Kashmir,MSc Biotechnology,Biotechnology,MSc,20,Bachelor’s degree under 10+2+3 pattern in Physical/Biological Sciences or Agriculture/Veterinary/Fishery Sciences/Pharmacy/Engineering/Technology/MBBS/BDS with 55% marks (Open Merit) and 50% marks (Reserved),Srinagar,Jammu and Kashmir,https://www.kashmiruniversity.net,14,Admission based on GAT-B score
MYS001,University of Mysore,MSc Biotechnology,Biotechnology,MSc,15,"Bachelor’s degree in Science including Agriculture, Pharmacy, Chemical Engineering, Medicine, Veterinary, Dairy, Fisheries, Horticulture, Forestry with minimum 55% marks",Mysuru,Karnataka,https://uni-mysore.ac.in,14,Minimum 55% aggregate
UTK001,Utkal University,MSc Biotechnology,Biotechnology,MSc,25,Bachelor’s degree under 10+2+3 pattern in Physical or Biological Sciences with at least 55% aggregate marks,Bhubaneswar,Odisha,https://www.utkaluniversity.nic.in,14,As per DBT guidelines
VBU001,Visva-Bharati University,MSc Biotechnology,Biotechnology,MSc,20,"Bachelor's degree in Biological/Physical Sciences, Veterinary/Fishery/Agricultural Sciences, Pharmacy, Engineering/Technology, Medicine and allied sciences",Santiniketan,West Bengal,https://www.visvabharati.ac.in,14,Biotechnology programme
RPCAU001,Dr. Rajendra Prasad Central Agricultural University,MSc (Ag.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,10,B.Sc. Ag./B.Sc.(Hons.) Agriculture/Horticulture/Forestry/Sericulture/Biotechnology or B.Tech Biotechnology with four-year graduation,Pusa,Bihar,https://www.rpcau.ac.in,14-15,3-year bachelor's degree not eligible
GBPUAT001,G.B. Pant University of Agriculture and Technology,MSc (Ag.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,15,Bachelor's Degree in Agriculture/Horticulture/Forestry/Agriculture Biotechnology/B.Tech Biotechnology (Four Years),Pantnagar,Uttarakhand,https://www.gbpuat.ac.in,15,Four-year agriculture degree required
IGKV001,Indira Gandhi Krishi Vishwavidyalaya,MSc (Ag.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,30,Valid GAT-B score; B.Sc.(Ag.)/B.Sc.(Hort.)/B.Sc.(Ag. Biotechnology)/B.Sc.(Forestry)/B.Tech Agri-Biotechnology/Biotechnology with OGPA 6.00/10 or 60%,Raipur,Chhattisgarh,https://igkv.ac.in,15,Minimum age 20 years
KAU001,Kerala Agricultural University,MSc (Ag.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,15,B.Sc. Agriculture/Horticulture/Forestry/Sericulture/Apiculture/Agricultural Biotechnology or B.Tech Biotechnology; OGPA 7.00/10 General and 6.50/10 SC/ST,Thrissur,Kerala,https://kau.in,15,No age limit
PAU001,Punjab Agricultural University,MSc (Agri.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,10,B.Sc. Biotech (Hons)/B.Sc. Biotech/B.Tech Biotech/B.Sc. Molecular Biology/B.Sc. Agri/B.Sc. Hort/B.Sc. Forestry and equivalent 4-year programmes,Ludhiana,Punjab,https://www.pau.edu,16,Four-year programmes only
RLBCAU001,Rani Lakshmi Bai Central Agricultural University,MSc (Agri.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,10,B.Sc. Agriculture/B.Sc. Horticulture/B.Sc. Forestry/B.Sc. Biotechnology (Hons.)/B.Tech Biotechnology,Jhansi,Uttar Pradesh,https://www.rlbcau.ac.in,16,Agriculture biotechnology programme
SKUAST001,Sher-e-Kashmir University of Agricultural Sciences and Technology Jammu,MSc (Agriculture) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,10,Minimum 4-year degree in B.Tech Biotechnology/B.Sc.(Hons.) Agriculture/B.V.Sc. & A.H./B.Sc.(Hons.) Basic Sciences,Jammu,Jammu and Kashmir,https://www.skuastjammu.ac.in,16,Minimum 4-year degree mandatory
TNAU001,Tamil Nadu Agricultural University,MSc (Ag.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,20,B.Sc.(Ag.)/B.Sc.(Hons.) Agriculture/Horticulture/Forestry/Sericulture or B.Tech Agricultural Biotechnology/Biotechnology/Horticulture/Bioinformatics with 70% marks or OGPA 6.60/10; SC/ST OGPA 6.50/10,Coimbatore,Tamil Nadu,https://tnau.ac.in,16,No age limit
UASB001,University of Agricultural Sciences Bangalore,MSc (Ag.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,13,B.Sc. Ag./Horticulture/Forestry/Sericulture/Biotechnology or corresponding Hons. degree or B.Tech Biotechnology with minimum OGPA 5.50/10,Bengaluru,Karnataka,https://www.uasbangalore.edu.in,17,SC/ST/Category-I OGPA 5.00/10
UASD001,University of Agricultural Sciences Dharwad,MSc (Ag.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,12,4-year B.Sc. Agriculture/Agriculture Biotechnology/Horticulture/Sericulture/Forestry or B.Tech Agriculture Biotechnology with OGPA 6.50/10,Dharwad,Karnataka,http://www.uasd.edu,17,SC/ST/Category-I OGPA 6.00/10
VNMKV001,V.D. College of Agricultural Biotechnology,MSc (Agri.) Molecular Biology and Biotechnology,Agricultural Biotechnology,MSc,30,Four-year degree in Agriculture/Agricultural Biotechnology/B.Tech Biotechnology/Horticulture/Forestry with CGPA 6.5/10 or 65% marks,Latur,Maharashtra,https://www.vnmkv.ac.in,17,Maximum age 30 years
CUSAT001,Cochin University of Science and Technology,MTech Marine Biotechnology,Marine Biotechnology,MTech,20,B.Tech/BE Biotechnology or M.Sc. Life Sciences including Marine Biology with minimum 60% marks or equivalent CGPA and qualifying GAT-B score,Kochi,Kerala,https://cusat.ac.in,17-18,GAT-B mandatory
GGSIPU001,Guru Gobind Singh Indraprastha University,MTech Industrial Biotechnology,Industrial Biotechnology,MTech,10,"B.Tech Biotechnology/Chemical Engineering/Biochemical Engineering or related field, B.Pharm or M.Sc. Biotechnology/Biochemistry with 60% marks (General/EWS/OBC) or 55% marks (SC/ST/PwD)",New Delhi,Delhi,https://www.ipu.ac.in,18,Maximum age 30 years; age relaxation applicable
IIITD001,Indraprastha Institute of Information Technology Delhi,MTech Computational Biology,Computational Biology,MTech,15,"B.Tech/BE, MCA, M.Sc., B.Pharm, MBBS or BDS with required mathematics/programming background; 65% qualifying marks and valid GAT-B score",New Delhi,Delhi,https://www.iiitd.ac.in,18,Computational Biology specialization
ICTM001,Institute of Chemical Technology Mumbai,MTech Bioprocess Technology,Bioprocess Technology,MTech,30,"B.Chemical Engineering, B.Pharmacy, B.Tech/BE in Chemical, Food, Dairy, Biotechnology, Biochemical, Biomedical, Pharmaceutical or Industrial Biotechnology related disciplines with 60% marks (55% reserved)",Mumbai,Maharashtra,https://www.ictmumbai.edu.in,19,Three-year degrees not eligible
ICTM002,Institute of Chemical Technology Mumbai,MTech Food Biotechnology,Food Biotechnology,MTech,10,"B.Tech/B.Sc.(Tech)/BE in Food Engineering & Technology, Food Science, Food Process Technology, Dairy Technology, Biotechnology, Biochemical Engineering, Pharmaceutical Technology, Oil Technology or equivalent",Mumbai,Maharashtra,https://www.ictmumbai.edu.in,19,Three-year degrees not eligible
ICTM003,Institute of Chemical Technology Mumbai,MTech Pharmaceutical Biotechnology,Pharmaceutical Biotechnology,MTech,10,"B.Pharmacy, B.Tech/B.Sc.(Tech)/BE in Biotechnology, Biochemical Engineering, Pharmaceutical Technology, Industrial Biotechnology, Chemical Engineering, Biomedical Engineering or equivalent",Mumbai,Maharashtra,https://www.ictmumbai.edu.in,20,50% seats for pharmaceutical background candidates
JHU001,Jamia Hamdard University,MTech Biotechnology,Biotechnology,MTech,10,B.Tech/B.Pharma/M.Sc. Biotechnology/Biological Sciences/M.Sc.(Agriculture)/M.V.Sc. with minimum 55% marks,New Delhi,Delhi,https://jamiahamdard.edu,20,"Age limit: 28 years General/EWS, 31 years OBC, 33 years SC/ST/Women/Differently Abled"
JIIT001,Jaypee Institute of Information Technology,MTech Biotechnology,Biotechnology,MTech,10,B.Tech in Biotechnology/B.Tech in Bioinformatics/Master in Life Sciences/4-year Bachelor's degree in Life Sciences or Agriculture/MBBS/B.V.Sc./B.Pharma with at least 60% marks (55% for SC/ST) or equivalent grade point on a 10-point scale in aggregate. Admission under DBT support through centralized selection process only i.e. GAT-B.,Noida,Uttar Pradesh,https://www.jiit.ac.in,21,GAT-B mandatory
KSRCT001,K.S. Rangasamy College of Technology,MTech Biotechnology,Biotechnology,MTech,10,"Qualified in B.E./B.Tech in Genetic Engineering, Biochemical Engineering, Industrial Biotechnology, Agricultural Biotechnology, Pharmaceutical Biotechnology, Biotechnology and Biochemical Engineering.",Tiruchengode,Tamil Nadu,https://www.ksrct.ac.in,21,Specific engineering disciplines eligible
MAKAUT001,Maulana Abul Kalam Azad University of Technology,MTech Biotechnology,Biotechnology,MTech,30,"B.Tech/B.E. (Biotechnology, Biochemical Engineering, Biomedical Engineering, Industrial Biotechnology, Pharmaceutical Technology, Chemical Technology, Food Engineering) or equivalent; B.Pharm.; M.Sc. (Biotechnology, Biochemistry, Zoology, Microbiology, Genetics, Life Sciences, Bioengineering) with minimum 60% marks or equivalent CGPA from a recognized university.",Kolkata,West Bengal,https://makautwb.ac.in,21,No age limit
PONDI002,Pondicherry University,MTech Computational Biology,Computational Biology,MTech,30,"Minimum 55% marks in Master's degree in Bioinformatics, Physics, Chemistry, Mathematics, Statistics, Computer Science, Biotechnology, Biochemistry, Microbiology, Plant Biology, Botany, Animal Biology or Zoology; OR minimum 55% marks in B.Tech/B.Pharm/B.E. in Industrial Biotechnology, Biotechnology, Pharmaceutical Technology, Food Technology, Bioinformatics, Chemical Engineering, Leather Technology, Bioengineering, Information Technology, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Mechanical Engineering, Biomedical Engineering, Electronics and Instrumentation Engineering.",Puducherry,Puducherry,https://www.pondiuni.edu.in,21-22,Computational Biology programme
VELTECH001,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,MTech Biotechnology,Biotechnology,MTech,10,"B.E./B.Tech in Biotechnology, Food Technology, Chemical Engineering, Pharmaceutical Engineering, Genetic Engineering, Agricultural Engineering, Biotechnology, Bioengineering; Master's Degree in Life Sciences (Biotechnology, Microbiology, Biochemistry, Genetic Engineering, Molecular Biology); B.Pharm with Biology or related subjects at 10+2 level or later.",Chennai,Tamil Nadu,https://www.veltech.edu.in,22,Multiple engineering and life science backgrounds accepted
AAU002,Assam Agricultural University,MVSc Veterinary Biotechnology,Veterinary Biotechnology,MVSc,10,"B.V.Sc. degree from a recognized university securing minimum CGPA of 2.60/4.00 or 3.25/5.00 or 6.60/10.00 for Gen/OBC/UPS category and 2.20/4.00 or 2.75/5.00 or 5.60/10.00 for SC/ST/DAC category. Where only marks are awarded, minimum 60% marks for Gen/OBC/UPS and 50% for SC/ST/DAC candidates.",Jorhat,Assam,http://www.aau.ac.in,22,No specific age limit; gap certificate required
